"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"","查看广告","查看公司首页广告","0","0","1","0","0"
"","产品搜索","产品列表","0","4","16","0","0"
"","设置模块","设置页面","0","1","10","0","0"
"","查询厂商","查询厂商","0","0","7","0","0"
"","登录模块","角色选择","0","0","4","0","0"
"","现货区","公司首页现货区","0","0","8","0","0"
"","个人信息模块","修改个人信息","0","2","4","0","0"
"","公司首页","首页展示","0","3","23","0","0"
"","","","0","24","6","0","0"
"","登录模块","游客注册","0","3","2","0","0"
"","GCC产品","公司首页GCC产品","0","0","8","0","0"
"","购物车","购物车","0","1","7","0","0"
"","新品区","公司首页新品区","0","0","10","0","0"
"","店铺模块","店铺页面","0","0","13","0","0"
"","视频区","公司首页视频区","0","0","8","0","0"
"","","玩具圈","0","0","3","0","0"
"","展厅主页","展厅主页","0","8","0","0","0"
"","查看广告","查看广告","0","0","3","0","0"
"","图搜模块","扫码搜索","0","0","4","0","0"
"","3D产品","公司首页3D产品","0","0","8","0","0"
"","登录模块","游客登录","0","0","4","0","0"
"","产品搜索","产品搜索","0","0","5","0","0"
"","登录模块","手机登录","0","0","5","0","0"
"","玩具圈收藏模块","玩具圈收藏","0","0","2","0","0"
"","","通讯录","0","0","3","0","0"
"","找样报价","生成报价","0","1","1","0","0"
"","产品搜索","厂商搜索","0","0","2","0","0"
"","操作指南","操作指南","0","1","1","0","0"
"","图搜模块","相机搜索","0","0","1","0","0"
