"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Sep 21 16:06:34 CST 2022","Wed Sep 21 16:06:46 CST 2022","12414","test_cases.common","test_View_ads","TestViewAds","","","查看公司首页广告轮播图",""
"passed","Wed Sep 21 15:32:46 CST 2022","Wed Sep 21 15:33:21 CST 2022","35240","test_cases.common","test_Product_search","TestProductSearch","","","关键字搜索",""
"passed","Wed Sep 21 16:23:39 CST 2022","Wed Sep 21 16:23:53 CST 2022","14636","test_cases.common","test_set_up","TestSetUp","","","点击返回",""
"passed","Wed Sep 21 16:01:11 CST 2022","Wed Sep 21 16:01:36 CST 2022","25226","test_cases.common","test_Query_vendor","TestQueryVendor","","","历史查询",""
"passed","Wed Sep 21 16:22:06 CST 2022","Wed Sep 21 16:22:15 CST 2022","8990","test_cases.common","test_select_role","TestSelectRole","","","选择展厅角色",""
"passed","Wed Sep 21 18:01:41 CST 2022","Wed Sep 21 18:01:54 CST 2022","13561","test_cases.company","test_Spot_area","TestSpotArea","","","点击返回",""
"passed","Wed Sep 21 16:14:43 CST 2022","Wed Sep 21 16:15:00 CST 2022","16985","test_cases.common","test_modify_personal_information","TestModifyPersonalInfomation","","","修改性别",""
"passed","Wed Sep 21 17:05:08 CST 2022","Wed Sep 21 17:05:20 CST 2022","12094","test_cases.company","test_Company_homepage","TestCompanyHomePage","","","点击GCC产品",""
"broken","Thu Feb 02 16:44:26 CST 2023","Thu Feb 02 16:44:26 CST 2023","7","api.testcase.ExhibitionHall","test_Get_statistics_on_the_first_page_of_the_exhibition_hall_api","TestGetStatisticsOnTheFirstPageOfTheExhibitionHall","","","test_Get_statistics_on_the_first_page_of_the_exhibition_hall",""
"passed","Wed Sep 21 16:28:06 CST 2022","Wed Sep 21 16:28:20 CST 2022","14501","test_cases.common","test_set_up","TestSetUp","","","通用设置",""
"passed","Wed Sep 21 16:43:39 CST 2022","Wed Sep 21 16:43:55 CST 2022","16183","test_cases.common","test_visitor_register","TestVisitorRegister","","","厂商游客点击跳过","厂商游客登录"
"passed","Wed Sep 21 17:22:47 CST 2022","Wed Sep 21 17:23:06 CST 2022","18635","test_cases.company","test_GCC_product","TestGCCProduct","","","产品加购",""
"passed","Wed Sep 21 17:03:08 CST 2022","Wed Sep 21 17:03:20 CST 2022","12264","test_cases.company","test_Company_homepage","TestCompanyHomePage","","","点击相机",""
"passed","Wed Sep 21 15:59:06 CST 2022","Wed Sep 21 15:59:26 CST 2022","19696","test_cases.common","test_Query_vendor","TestQueryVendor","","","厂商名称查询",""
"passed","Wed Sep 21 18:03:48 CST 2022","Wed Sep 21 18:04:06 CST 2022","18116","test_cases.company","test_Spot_area","TestSpotArea","","","产品收藏",""
"broken","Wed Sep 21 16:50:01 CST 2022","Wed Sep 21 16:50:55 CST 2022","54626","test_cases.common","test_visitor_register","TestVisitorRegister","","","厂商游客注册","厂商游客登录"
"passed","Thu Feb 02 16:44:02 CST 2023","Thu Feb 02 16:44:02 CST 2023","249","api.testcase.ExhibitionHall","test_3D_product_api","TestLogin","","","test_get_verification_code",""
"passed","Wed Sep 21 15:49:06 CST 2022","Wed Sep 21 15:49:49 CST 2022","43502","test_cases.common","test_Product_search","TestProductSearch","","","外箱规格查询",""
"passed","Thu Feb 02 16:44:16 CST 2023","Thu Feb 02 16:44:17 CST 2023","171","api.testcase.ExhibitionHall","test_Get_statistics_on_the_first_page_of_the_exhibition_hall_api","TestLogin","","","test_get_verification_code",""
"passed","Wed Sep 21 18:12:35 CST 2022","Wed Sep 21 18:13:08 CST 2022","32799","test_cases.company","test_shopping_cart","TestShoppingCart","","","购物车排序",""
"passed","Wed Sep 21 17:02:43 CST 2022","Wed Sep 21 17:02:55 CST 2022","12067","test_cases.company","test_Company_homepage","TestCompanyHomePage","","","点击扫描",""
"passed","Wed Sep 21 17:32:09 CST 2022","Wed Sep 21 17:32:25 CST 2022","16084","test_cases.company","test_New_product_area","TestNewProductArea","","","查看产品",""
"passed","Wed Sep 21 16:40:06 CST 2022","Wed Sep 21 16:40:34 CST 2022","27612","test_cases.common","test_shop","TestShop","","","产品收藏",""
"broken","Wed Sep 21 16:46:28 CST 2022","Wed Sep 21 16:47:22 CST 2022","54424","test_cases.common","test_visitor_register","TestVisitorRegister","","","公司游客注册","公司游客登录"
"passed","Wed Sep 21 18:10:56 CST 2022","Wed Sep 21 18:11:10 CST 2022","14078","test_cases.company","test_shopping_cart","TestShoppingCart","","","点击返回",""
"passed","Wed Sep 21 17:07:08 CST 2022","Wed Sep 21 17:07:20 CST 2022","11958","test_cases.company","test_Company_homepage","TestCompanyHomePage","","","点击厂商总数",""
"broken","Thu Feb 02 16:44:14 CST 2023","Thu Feb 02 16:44:14 CST 2023","7","api.testcase.ExhibitionHall","test_3D_product_api","Test3DProduct","","","test_Get_3D_product_advertising",""
"passed","Wed Sep 21 18:09:53 CST 2022","Wed Sep 21 18:10:12 CST 2022","18941","test_cases.company","test_Video_area","TestVideoArea","","","产品加购",""
"passed","Wed Sep 21 15:35:04 CST 2022","Wed Sep 21 15:35:40 CST 2022","36548","test_cases.common","test_Product_search","TestProductSearch","","","厂商搜索",""
"passed","Wed Sep 21 16:04:27 CST 2022","Wed Sep 21 16:05:03 CST 2022","35605","test_cases.common","test_ToyCircle","TestToyCircle","","","发布玩具圈图片",""
"passed","Wed Sep 21 18:10:26 CST 2022","Wed Sep 21 18:10:44 CST 2022","18805","test_cases.company","test_Video_area","TestVideoArea","","","点击购物车",""
"broken","Wed Sep 21 17:45:37 CST 2022","Wed Sep 21 17:46:19 CST 2022","42333","test_cases.company","test_ShowroomHomePage","TestShowroomHomePage","","","扫码搜索",""
"passed","Wed Sep 21 16:05:14 CST 2022","Wed Sep 21 16:05:30 CST 2022","15307","test_cases.common","test_ToyCircle","TestToyCircle","","","查看玩具圈或资讯类型",""
"passed","Wed Sep 21 16:33:12 CST 2022","Wed Sep 21 16:33:36 CST 2022","23366","test_cases.common","test_shop","TestShop","","","查看logo",""
"passed","Thu Sep 22 17:05:47 CST 2022","Thu Sep 22 17:05:47 CST 2022","68","api.testcase","test_login_api","TestLogin","","","test_Visitor_login",""
"passed","Wed Sep 21 16:08:28 CST 2022","Wed Sep 21 16:08:44 CST 2022","15717","test_cases.common","test_View_ads","TestViewAds","","","查看公司首页小展厅广告轮播图",""
"passed","Wed Sep 21 16:03:49 CST 2022","Wed Sep 21 16:04:16 CST 2022","27522","test_cases.common","test_ToyCircle","TestToyCircle","","","发布玩具圈",""
"passed","Thu Sep 22 17:03:22 CST 2022","Thu Sep 22 17:03:39 CST 2022","16545","test_cases.common","test_Figure_search","TestFigureSearch","","","点击返回",""
"passed","Wed Sep 21 16:59:56 CST 2022","Wed Sep 21 17:00:13 CST 2022","17329","test_cases.company","test_3D_product","Test3DProduct","","","查看产品",""
"broken","Wed Sep 21 15:37:29 CST 2022","Wed Sep 21 15:38:03 CST 2022","33710","test_cases.common","test_Product_search","TestProductSearch","","","价格区间",""
"passed","Wed Sep 21 15:52:23 CST 2022","Wed Sep 21 15:53:00 CST 2022","36662","test_cases.common","test_Product_search","TestProductSearch","","","产品分类",""
"passed","Wed Sep 21 16:35:30 CST 2022","Wed Sep 21 16:36:03 CST 2022","32951","test_cases.common","test_shop","TestShop","","","所有产品加购",""
"passed","Wed Sep 21 16:08:55 CST 2022","Wed Sep 21 16:09:17 CST 2022","21771","test_cases.common","test_View_ads","TestViewAds","","","查看公司首页横幅广告轮播图",""
"passed","Wed Sep 21 16:42:28 CST 2022","Wed Sep 21 16:42:39 CST 2022","10115","test_cases.common","test_visitor_register","TestVisitorLogin","","","公司游客登录","公司游客登录"
"broken","Thu Feb 02 16:44:09 CST 2023","Thu Feb 02 16:44:09 CST 2023","20","api.testcase.ExhibitionHall","test_3D_product_api","Test3DProduct","","","test_Query_the_3D_products_in_the_exhibition_hall",""
"passed","Wed Sep 21 16:37:51 CST 2022","Wed Sep 21 16:38:24 CST 2022","32873","test_cases.common","test_shop","TestShop","","","3D产品加购",""
"passed","Wed Sep 21 15:27:48 CST 2022","Wed Sep 21 15:28:19 CST 2022","31073","test_cases.common","test_Product_search","TestProductSearch","","","相机搜索",""
"passed","Wed Sep 21 17:02:18 CST 2022","Wed Sep 21 17:02:31 CST 2022","12555","test_cases.company","test_Company_homepage","TestCompanyHomePage","","","点击指南",""
"passed","Wed Sep 21 17:19:36 CST 2022","Wed Sep 21 17:19:51 CST 2022","14964","test_cases.company","test_GCC_product","TestGCCProduct","","","产品搜索",""
"broken","Thu Feb 02 16:44:13 CST 2023","Thu Feb 02 16:44:13 CST 2023","7","api.testcase.ExhibitionHall","test_3D_product_api","Test3DProduct","","","test_Add_Product_Footprint",""
"passed","Wed Sep 21 16:10:22 CST 2022","Wed Sep 21 16:10:34 CST 2022","11748","test_cases.common","test_login","TestLogin","","","验证码登录",""
"passed","Wed Sep 21 16:05:41 CST 2022","Wed Sep 21 16:05:56 CST 2022","15630","test_cases.common","test_Toy_Circle_Collection","TestToyCircleCollection","","","玩具圈收藏返回",""
"broken","Wed Sep 21 17:12:30 CST 2022","Wed Sep 21 17:13:11 CST 2022","40718","test_cases.company","test_Company_homepage","TestCompanyHomePage","","","点击品牌展厅-更多",""
"passed","Wed Sep 21 18:08:52 CST 2022","Wed Sep 21 18:09:10 CST 2022","17957","test_cases.company","test_Video_area","TestVideoArea","","","查看产品",""
"passed","Wed Sep 21 17:34:25 CST 2022","Wed Sep 21 17:34:40 CST 2022","15590","test_cases.company","test_New_product_area","TestNewProductArea","","","点击购物车",""
"passed","Wed Sep 21 16:30:03 CST 2022","Wed Sep 21 16:30:20 CST 2022","16884","test_cases.common","test_set_up","TestSetUp","","","切换角色",""
"passed","Wed Sep 21 16:11:27 CST 2022","Wed Sep 21 16:12:01 CST 2022","34576","test_cases.common","test_mail_list","TestMailList","","","发起群聊",""
"passed","Wed Sep 21 18:09:23 CST 2022","Wed Sep 21 18:09:40 CST 2022","17302","test_cases.company","test_Video_area","TestVideoArea","","","产品加购",""
"passed","Wed Sep 21 15:54:40 CST 2022","Wed Sep 21 15:55:13 CST 2022","33026","test_cases.common","test_Product_search","TestProductSearch","","","产品收藏",""
"passed","Wed Sep 21 15:59:38 CST 2022","Wed Sep 21 15:59:59 CST 2022","20841","test_cases.common","test_Query_vendor","TestQueryVendor","","","厂商名称查询",""
"passed","Wed Sep 21 17:04:20 CST 2022","Wed Sep 21 17:04:32 CST 2022","11913","test_cases.company","test_Company_homepage","TestCompanyHomePage","","","点击首页大轮播图",""
"passed","Wed Sep 21 18:14:01 CST 2022","Wed Sep 21 18:14:30 CST 2022","28648","test_cases.company","test_shopping_cart","TestShoppingCart","","","勾选产品",""
"broken","Wed Sep 21 16:54:14 CST 2022","Wed Sep 21 16:57:07 CST 2022","172905","test_cases.common","test_visitor_register","TestVisitorRegister","","","公司游客功能点击","公司游客功能点击"
"passed","Wed Sep 21 17:18:01 CST 2022","Wed Sep 21 17:18:14 CST 2022","13063","test_cases.company","test_Company_homepage","TestCompanyHomePage","","","点击玩具圈",""
"passed","Wed Sep 21 16:13:35 CST 2022","Wed Sep 21 16:14:04 CST 2022","28992","test_cases.common","test_modify_personal_information","TestModifyPersonalInfomation","","","修改头像",""
"broken","Thu Feb 02 16:44:18 CST 2023","Thu Feb 02 16:44:18 CST 2023","0","api.testcase.ExhibitionHall","test_Get_statistics_on_the_first_page_of_the_exhibition_hall_api","TestLogin","","","test_get_verification_code_with_phone_number",""
"passed","Wed Sep 21 17:05:31 CST 2022","Wed Sep 21 17:05:43 CST 2022","11963","test_cases.company","test_Company_homepage","TestCompanyHomePage","","","点击3D产品",""
"passed","Wed Sep 21 17:28:40 CST 2022","Wed Sep 21 17:28:54 CST 2022","13626","test_cases.company","test_New_product_area","TestNewProductArea","","","点击返回",""
"passed","Wed Sep 21 17:22:18 CST 2022","Wed Sep 21 17:22:36 CST 2022","17768","test_cases.company","test_GCC_product","TestGCCProduct","","","产品加购",""
"passed","Wed Sep 21 18:05:17 CST 2022","Wed Sep 21 18:05:35 CST 2022","18598","test_cases.company","test_Spot_area","TestSpotArea","","","产品加购",""
"broken","Thu Feb 02 16:44:05 CST 2023","Thu Feb 02 16:44:05 CST 2023","7","api.testcase.ExhibitionHall","test_3D_product_api","TestLogin","","","test_Company_Role_Login",""
"passed","Wed Sep 21 17:06:44 CST 2022","Wed Sep 21 17:06:56 CST 2022","12054","test_cases.company","test_Company_homepage","TestCompanyHomePage","","","点击产品总数",""
"broken","Thu Feb 02 16:44:19 CST 2023","Thu Feb 02 16:44:19 CST 2023","188","api.testcase.ExhibitionHall","test_Get_statistics_on_the_first_page_of_the_exhibition_hall_api","TestLogin","","","test_login",""
"passed","Wed Sep 21 16:22:26 CST 2022","Wed Sep 21 16:22:36 CST 2022","9169","test_cases.common","test_select_role","TestSelectRole","","","选择公司角色",""
"passed","Wed Sep 21 15:55:25 CST 2022","Wed Sep 21 15:55:47 CST 2022","22351","test_cases.common","test_Product_search","TestProductSearch","","","点击购物车按钮",""
"broken","Thu Sep 22 17:05:46 CST 2022","Thu Sep 22 17:05:46 CST 2022","0","api.testcase","test_login_api","TestLogin","","","test_get_verification_code",""
"broken","Thu Feb 02 16:44:11 CST 2023","Thu Feb 02 16:44:11 CST 2023","7","api.testcase.ExhibitionHall","test_3D_product_api","Test3DProduct","","","test_Sorting_3D_product_in_the_exhibition_hall",""
"broken","Thu Feb 02 16:44:07 CST 2023","Thu Feb 02 16:44:07 CST 2023","8","api.testcase.ExhibitionHall","test_3D_product_api","TestLogin","","","test_Vendor_Role_Login",""
"passed","Wed Sep 21 16:31:29 CST 2022","Wed Sep 21 16:31:47 CST 2022","17784","test_cases.common","test_set_up","TestSetUp","","","隐私政策",""
